Souèástka;Znaèení;Pøipojení;Specifikace;Typ;Funkce;Symbol;Stránka è.;È.skupiny;Viditelné;Výpisy zapojení;Výpisy materiálu;Mech. pøíslušenství;VýKON;OTáèKY;Viditelné
 (0);;;;ETH-TR;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;ETH-ROBOT;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;ETH-PC;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SAFETY LOCK;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;ETH-RT;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;ETH-RT-T1;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;ETH-RT-T2;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;ETH-RT-T3;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;ETH-RT-T4;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;ETH-RT-T5;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;ETH-RT-T6;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;ETH-T1;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;ETH-T2;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;ETH-T3;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;ETH-T4;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;ETH-T5;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;ETH-T6;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;ETH-RT;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;ETH-TR;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;15x PINDA;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;36x Cylinder Sensors;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;15x PINDA;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;36x Cylinder Sensors;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;40pin PUC1-INPUTS;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;40pin PUC1-INPUTS;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PWS7(24V);;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PWS8(5V);;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PWS8(5V);;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PWS7(24V);;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PWS1-6(24V);;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PWS1-6(24V);;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;VB1;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;VB2;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SAFETY LOCK;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC2-RS422;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC3-RS422;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC1-RS422;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-2;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-1;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;ETH-TR;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;ETH-PC;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;ETH-ROBOT;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PC-RS422;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PC-RS422;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;18x PINDA (S1-S18);;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;LIGHT;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;S1:1/S4:3;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;S4:4/S3:2;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;S4:4/S3:2;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;S1:1/S4:3;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;solenoid B;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;solenoid A;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;solenoid A;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;solenoid B;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;TR-C;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;TR-C;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;LIGHT;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (1);;;CYA,1 mm2, yellow;PS1:6/P12:1;;sipka;1;1;Ano;Ano;Ano;;;;Ano
 (1);;;CYA,2.5 mm2, red;PS1:1/X14:C2;;sipka;4;1;Ano;Ano;Ano;;;;Ano
 (1);;;CYA,2.5 mm2, white;PS1:3/X14:D2;;sipka;4;1;Ano;Ano;Ano;;;;Ano
 (1);;;CYA,2.5 mm2, red;PS2:3/X24:C2;;sipka;4;1;Ano;Ano;Ano;;;;Ano
 (1);;;CYA,2.5 mm2, white;PS2:4/X24:D2;;sipka;4;1;Ano;Ano;Ano;;;;Ano
 (1);;;CYA,2.5 mm2, red;PS1:2/X14:C2;;sipka;4;1;Ano;Ano;Ano;;;;Ano
 (1);;;CYA,2.5 mm2, white;PS1:4/X14:D2;;sipka;4;1;Ano;Ano;Ano;;;;Ano
 (1);;;CYA,1 mm2, yellow;PS1:6/P12:1;;sipka;6;1;Ano;Ano;Ano;;;;Ano
 (1);;;CYA,2.5 mm2, red;PS1:1/X14:C2;;sipka;6;1;Ano;Ano;Ano;;;;Ano
 (1);;;CYA,2.5 mm2, red;PS1:2/X13:C2;;sipka;6;1;Ano;Ano;Ano;;;;Ano
 (1);;;CYA,2.5 mm2, white;PS1:3/X14:D2;;sipka;6;1;Ano;Ano;Ano;;;;Ano
 (1);;;CYA,2.5 mm2, white;PS1:4/X14:D1;;sipka;6;1;Ano;Ano;Ano;;;;Ano
 (1);;;CYA,1 mm2, oragne;PS1:5/X14:C1;;sipka;6;1;Ano;Ano;Ano;;;;Ano
 (1);;;CYA,2.5 mm2, red;PS1:1/X14:C2;;sipka;6;1;Ano;Ano;Ano;;;;Ano
 (1);;;CYA,2.5 mm2, red;PS1:2/X13:C2;;sipka;6;1;Ano;Ano;Ano;;;;Ano
 (1);;;CYA,2.5 mm2, white;PS1:3/X14:D2;;sipka;6;1;Ano;Ano;Ano;;;;Ano
 (1);;;CYA,2.5 mm2, white;PS1:4/X14:D1;;sipka;6;1;Ano;Ano;Ano;;;;Ano
 (1);;;CYA,1 mm2, oragne;PS1:5/X14:C1;;sipka;6;1;Ano;Ano;Ano;;;;Ano
 (1);;;2,5mm2,brown;FU0:4/FI1:1;;sipka;6;1;Ano;Ano;Ano;;;;Ano
 (1);;;2,5mm2,gray;FU0:6/FI2:1;;sipka;6;1;Ano;Ano;Ano;;;;Ano
 (1);;;2,5mm2,blue;FU0:8/FI0:3;;sipka;6;1;Ano;Ano;Ano;;;;Ano
 (1);;;2,5mm2,black;FU0:2/FI0:1;;sipka;6;1;Ano;Ano;Ano;;;;Ano
